15;12;8;10;18;4;12;18;4;15;3;17;3;15;8;10;20;9;3;18
5;10;13;12;2;14;1;13;6;8;10;20;3;6;7;11;3;0;8;4
11;7;4;9;2;8;1;13;4;0;7;14;19;5;10;4;16;17;18;11
1;16;17;7;20;9;3;12;4;10;14;1;15;16;17;18;19;12;5;9
17;18;6;7;8;9;10;14;3;19;18;0;1;13;11;8;17;14;1;14
20;15;16;17;11;8;5;18;6;7;0;13;10;17;20;10;16;3;0;12
8;4;2;18;12;14;19;9;10;3;11;15;5;7;13;16;17;0;20;1
10;16;11;17;3;5;12;18;19;13;2;18;0;20;14;4;16;15;4;9
18;4;12;18;4;11;8;5;18;6;0;20;14;4;16;18;0;1;13;10
7;2;19;16;0;3;6;20;5;17;18;14;13;8;9;13;1;5;15;11
